url,title,subtitle,price,common_expenses,squared_meters,dorms,bathrooms,location,coordinates,description,verified_seller,image_url,Superficie total,Superficie útil,Superficie de terraza,Dormitorios,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Número de piso de la unidad,Tipo de departamento,Orientación,Antigüedad,Gastos comunes,Con condominio cerrado,Tipo de seguridad,Con conexión para lavarropas,Conserjería,Jacuzzi,Closets,Comedor de diario,Baño de visitas,Terraza,Comedor,Walk-in clóset,Homeoffice,Living,Patio,Dormitorio en suite,Balcón,Jardín,Cocina,Dormitorio y baño de servicio,Playroom,Parrilla,Piscina,Chimenea,Con área verde,Cancha de básquetbol,Cancha de paddle,Canchas de usos múltiples,Sauna,Refrigerador,Con cancha de fútbol,Cowork,Acceso a internet,Gimnasio,Salón de usos múltiples,Ascensor,Estacionamiento de visitas,Cancha de tenis,Lavandería,Salón de fiestas,Área de juegos infantiles,Área de cine,Azotea,Agua corriente,Línea telefónica,Gas natural,Caldera,Aire acondicionado,Calefacción,Cisterna,Generador eléctrico,Con energia solar,Admite mascotas,Amoblado,Uso comercial,Recepción,Ambientes,Departamentos por piso,Con logia,Rampa para silla de ruedas,Número de torre,currency
https://www.portalinmobiliario.com/MLC-1554850479,Arayabroker Vende Excelentes Departamentos En Independencia,Departamento en Venta,1290,Gastos comunes aproximados $ 45.000,30 m² totales,1 dormitorio,1 baño,"Inglaterra 1144, Hospitales, Independencia, RM (Metropolitana)","-33.4126782,-70.6550924","Se vende departamento muy bien ubicado en Calle Inglaterra, se presenta como una excelente oportunidad para inversión.Se encuentran a 10 minutos de estación Hospitales, a pasos del Hospital de Niños Dr. Roberto del Rio y Hospital San José, CESFAM Doctor Agustín Cruz Melo,Cercano a Mall Barrio Independencia, Supermercados, Restaurantes, Estadio, Polideportivo y comercios de todo tipo.Departamentos cuentan con 1 dormitorio con closet, 1 baño completo con tina, cocina americana, campana, piso flotante y alfombra respectivamente.Actualmente cada departamento se encuentra arrendado en un valor promedio de $ 270.000 mensuales, con posibilidad de traspaso de arrendatarios; esto implica una excelente posibilidad para inversionistas.El edificio cuenta con acceso controlado 24 horas, circuito cerrado TV.Áreas comunes con piscina, parque infantil, quinchos, salón de uso múltiple, gimnasio y lavandería.Valor de venta en UF 1300Comisión de corretaje (puede ser pagada con tarjeta de crédito) - KP258477 - KPD120206 -  - Publicado con KiteProp CRM Sistema Inmobiliario",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_965534-MLC81090198955_122024-F.webp,30 m²,30 m²,,1,1,0,,27,,,,9 años,45.000 CLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,UF
https://www.portalinmobiliario.com/MLC-2653720038,Departamento General Gana Id: 90030,Departamento en Venta  |  Publicado hace 3 meses,1290,Gastos comunes aproximados $ 20.000,28 m² totales,1 dormitorio,1 baño,,"-33.4707734,-70.648008",,,https://http2.mlstatic.com/D_NQ_NP_2X_867677-MLC78136074924_082024-F.webp,28 m²,28 m²,,1,1,0,0,,,Departamento,N,9 años,,,,,No,,,,No,,,,,,,,Sí,,,No,No,No,No,,,,,,,,,,,No,,,,,,No,,,No,,,,,,No,,,,No,No,,,1,,No,,,UF
https://www.portalinmobiliario.com/MLC-2767903324,Francisco Zelada/ Av. Libertador Bernardo Ohiggins,Departamento en Venta  |  Publicado hace 26 días,1290,Gastos comunes aproximados $ 70.000,37 m² totales,1 dormitorio,1 baño,,"-33.4554835,-70.7023239",,,https://http2.mlstatic.com/D_NQ_NP_2X_692002-MLC80251505646_112024-F.webp,37 m²,33 m²,4 m²,1,1,0,0,9,9,Departamento,O,7 años,,Sí,24 horas,Sí,Sí,No,Sí,No,No,Sí,No,No,No,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,Sí,No,Sí,No,No,Sí,1,13,Sí,No,0,UF
https://www.portalinmobiliario.com/MLC-2779013932,Depto En Venta De 1d/1b En Santiago Centro - Teatro Teleton,Departamento en Venta,1290,Gastos comunes aproximados $ 35.000,23 m² totales,1 dormitorio,1 baño,"Ruta 5 - Teatro Teletón, Centro Histórico de Santiago, Santiago, RM (Metropolitana)","-33.4360708,-70.6589821","PROPIEDAD
* Departamento tipo Home Studio
* 22 m2 totales
* Piso 18
* Orientación Poniente
* Vista despejada

DETALLES
* Piso flotante
* Ventanas monolítico metálico 
* Agua caliente por caldera
* Cocina Americana eléctrica, encimera metálica para 2 platos, horno empotrado y campana
* Muebles de cocina con cubiertas de melamina
* Baño con tina piso porcelanato

COMUNIDAD
* Edificio de 25 pisos
* Año 2016
* 3 ascensores
* Conserje y accesos controlados 24/7
* Zona con parrillas en obra para asados
* Piscina
* Gimnasio
* Lavandería
* Dos salas de eventos
* Estacionamientos para visitas
* Gastos Comunes $35.000 aproximadamente mensual

UBICACIÓN
* Excelente conectividad
* A pasos de la estación de Metro Linea 3 y 5 
* Cercano a metro Santa Ana Linea 2
* Cercano a plaza de Armas 
* Cercano a centros comerciales



INFORMACIÓN 
* Propiedades Tu Casa Cod.: 6875
* Karen Sepúlveda Basáez
* Las imágenes, textos y fotografías contenidas en esta publicación fueron elaboradas con fines ilustrativos y no constituyen necesariamente una representación exacta de la realidad, pudiendo sufrir modificaciones. Todas las dimensiones y superficies son aproximadas. Su único objetivo es mostrar características generales. Lo anterior se informa en virtud de lo señalado en la Ley N° 19.472.-",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_937939-MLC80726058433_112024-F.webp,23 m²,20 m²,3 m²,1,1,0,0,25,0,Un Ambiente,Poniente,8 años,35.000 CLP,No,,No,Sí,No,Sí,No,No,No,Sí,No,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,No,No,Sí,0,0,Sí,No,0,UF
https://www.portalinmobiliario.com/MLC-2780765064,Vendo Estudio En Excelente Estado!!!,Departamento en Venta,1290,Gastos comunes aproximados $ 50,23 m² totales,1 dormitorio,1 baño,"Concón 165, Estación Central, Chile, San Alberto Hurtado, Estación Central, RM (Metropolitana)","-33.4532332,-70.6963877","Lindo departamento en excelente estado ideal para invertir o para comenzar una nueva vida independiente. 

Cercano a todos los servicios, supermercado, restaurantes, a 10 minutos en metro del centro de Santiago, ferreterias, bencinera, iglesias, colegios, etc. Todo lo que necesite, está muy cerca. Excelente conexión a otras comunas. 

El estudio es funcional, cocina con muebles, encimera, campana. una persona sola o una pareja, pueden comenzar con su independencia cómodamente en esta propiedad. 

Valor de oferta en relación al promedio de la comuna. No deje pasar esta oportunidad con precios que ya no existen!",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_648070-MLC80508655936_112024-F.webp,23 m²,23 m²,0 m²,1,1,0,0,,,,,,50 CLP,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,UF
https://www.portalinmobiliario.com/MLC-2793281798,Departamento En Edif A Pasos Del Metro San Alberto Hurtado -,Departamento en Venta,1290,Gastos comunes aproximados $ 70.000,37 m² totales,1 dormitorio,1 baño,"A Pasos Metro P.hurtado Dpto. Con Bodega 1 Dormit., San Alberto Hurtado, Estación Central, RM (Metropolitana)","-33.4533567,-70.6945778","Espectacular edificio construido en el año 2020, a solo unos pasos del Metro San Alberto Hurtado
Este exquisito hogar ofrece un diseño único de 1 dormitorio y 1 baño, destacando por sus acabados de alta gama y su ubicación estratégica. Al ingresar, se quedará impresionado por la cocina americana completamente equipada con electrodomésticos full electric, incluyendo cocina encimera, horno, campana, lavaplatos, cubierta de granito y elegantes muebles de cocina.
El living-comedor se conecta de manera armoniosa con un balcón privado. Ventanal con cortinas roller instaladas.El dormitorio, con espacio suficiente para una cama de dos plazas y dos veladores, cuenta con un generoso Walk-in closet que combina funcionalidad y estilo.Cortinas roller instaladas.
El baño completo, con tina y ducha, revestimientos de cerámica en piso y muros, un elegante vanitorio y espejo. Además, se incluyen detalles adicionales como un closet de ropa blanca y otro con conexión para lavadora, brindando comodidad y practicidad a su rutina diaria.
Los interiores del living, comedor y dormitorio están adornados con piso flotante de folio madera, creando un ambiente cálido y acogedor, complementado por paredes pintadas de blanco que realzan la luminosidad y la sensación de amplitud.
Este edificio ofrece una variedad de servicios y comodidades exclusivas, como dos salas multiuso para eventos, un moderno gimnasio, una lavandería, y un dispensador de agua purificada de libre disposición. Además para disfrutar con la familia y o amigos, parrilladas en los cuatro quinchos equipados, y cuente con un servicio de conserjería las 24 horas para satisfacer todas sus necesidades.
La seguridad es una prioridad con accesos controlados, portón eléctrico y tres ascensores para su conveniencia.
*** PRECIO INCLUYE BODEGA***
Las superficies y características entregadas de la propiedad son aproximadas y referenciales, y han sido proporcionadas por su dueño.",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_787994-MLC81070286541_112024-F.webp,37 m²,34 m²,3 m²,1,1,0,1,18,30,Piso,N,4 años,70.000 CLP,Sí,24/7,Sí,Sí,No,Sí,Sí,No,No,No,Sí,No,No,Sí,No,No,No,,No,No,Sí,Sí,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,No,No,1,1,No,No,1,UF
https://www.portalinmobiliario.com/MLC-2794611202,Se Vende Depto. Estudio Semi Amoblado En Est. Central,Departamento en Venta,1290,Gastos comunes aproximados $ 23.000,20 m² totales,1 dormitorio,1 baño,"Se Vende Depto. Estudio Semi Amoblado En Est. Central, San Alberto Hurtado, Estación Central, RM (Metropolitana)","-33.4537984,-70.6958484","EN VENTA DEPTO ESTUDIO SEMI AMOBLADO EN CONDE DEL MAULE. ¡¡EXCELENTE PARA INVERSIÓN!!DEPTO. DE 20 m2VISTA HACIA EL ORIENTEEQUIPADO CON VARIOS ARTEFACTOS DE COCINA, MUEBLES, ESCRITORIO, Y CAMA.COCINA CON 2 ENCIMERAS ELÉCTRICAS, CAMPANA Y HORNO.BAÑO CON PISO CERÁMICO, CON CORTINAS Y BASURERO Y ACCESORIOS.EL DEPTO. CUENTA ADEMÁS CON REFRIGERADOR. TODO INCLUIDO EN EL VALOR DE ARRIENDO.DEPTO. EQUIPADO CON LAVADORA EN EL BAÑO!!GASTOS COMUNES MENSUALES DE $23.000 APP.EL EDIFICIO CUENTA CON SEGURIDAD 24/7, Y SALA MULTIUSO.REALES INTERESADOS CONTACTAR POR INTERNO!",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_752724-MLC80841874604_122024-F.webp,20 m²,20 m²,0 m²,1,1,0,0,31,0,Semi piso,O,0 años,23.000 CLP,No,24 horas,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,0,No,No,0,UF
https://www.portalinmobiliario.com/MLC-2765945256,Departamento Venta Un Ambiente En San Miguel,Departamento en Venta,49500000,Gastos comunes aproximados $ 30.000,27 m² totales,1 dormitorio,1 baño,"Departamento Venta Un Ambiente En San Miguel, Lo Vial, San Miguel, RM (Metropolitana)","-33.4901525,-70.660837","Venta un depto. Moderno de 27 mts2., UN AMBIENTE, ubicado en un buen sector, tranquilo y seguro, en calle Salesianos, metro San Miguel. Sector residencial, vista despejada, lindas terminaciones, departamento tipo Home estudio, con terraza, baño con tina, pisos cerámicos y ventanales de aluminio. Sin estacionamiento, ni bodega.El edificio full equipado con estacionamientos para visitas, sala de lavandería, sala de eventos, sector de quinchos y piscina. Seguridad las 24 hrs.Además por la compra de 2 departamentos identicos, el precio de venta sería de $47 millones. Por la compra de un departamento, el precio de venta es de $49.500.000.-",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_687325-MLC80782521712_112024-F.webp,27 m²,25 m²,2 m²,1,1,0,0,8,8,Departamento,SP,8 años,30.000 CLP,No,24 horas,No,Sí,No,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,1,6,No,No,0,$
https://www.portalinmobiliario.com/MLC-1505732641,"Se Vende Departamento 1d+1b, Metro Cumming Oportunidad !!!!!",Departamento en Venta,49500000,Gastos comunes aproximados $ 40.000,32 m² totales,1 dormitorio,1 baño,"Cueto 1322, Santiago, Chile, Parque Los Reyes, Santiago, RM (Metropolitana)","-33.4298647,-70.6736253","Se Vende Departamento 1 Dormitorio Metro Cumming , Parque de Los Reyes !!!! con excelente conectividad cuenta con :- 1 habitación en suite - 1 baño- Living/comedor con salida a terraza- Cocina en concepto abierto- instalación para lavadora- calefont- piscina- conserjeria 24/7- estacionamiento visitasCercanía Metro Cumming 20 min aprox.Condominio cuenta con; sala multiuso, lavandería y conserjería 24/7. El Edificio posee una ubicación privilegiada y excelente conectividad con locomoción colectiva, entregando una amplia oferta de servicios, accesibilidad y seguridad. Cercano a colegio Nuestra Señora de Andacoyo, supermercados Líder Matucana y Líder express, parque Los Reyes y locales comerciales.Compra Fácil y Rápido con nosotros, te asesoramos en todo el proceso contactenos.Oportunidad Inversionista !!!!",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_803342-MLC77794888497_072024-F.webp,32 m²,31 m²,,1,1,0,1,4,4,Departamento,SO,12 años,40.000 CLP,Sí,24 horas,Sí,Sí,No,,No,No,Sí,No,No,No,Sí,No,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,,,,,,,,,,,Sí,No,No,Sí,,,No,No,,$
https://www.portalinmobiliario.com/MLC-1547629653,Departamento En Venta De 3 Dorm. En La Granja,Departamento en Venta,49500000,,52 m² totales,3 dormitorios,1 baño,"Pasaje Doce Con Pasaje Seis, La Granja, Parque Brasil, La Granja, RM (Metropolitana)","-33.5175253,-70.6179189","Se vende Depto. en 3er. Piso de 3 dormitorios y 1 Baño, ubicada en el Pasaje Doce de la comuna de La Granja, a un costado del Parque Brasil y del Museo interactivo Mirador, Cercano a locomoción colectiva, a colegios, jardines infantiles, comercio, ferias libres, Parque Brasil y el Museo Interactivo Mirador (MIM).
Distribución:
- 3 dormitorios, Living comedor separados de ambiente - cocina con logia - Baño completo con cerámica en piso y paredes - Todo el departamento con piso cerámico - Estacionamientos comunitarios
La propiedad tiene 52 m2 de superficie construidos y es del año 1997
¡EXCELENTE OPORTUNIDAD DE COMPRA!
Precio: $ 49.500.000.- + 2% comisión del corredor.
Se acepta como medio de pago, subsidio (excepto DS49), crédito Hipotecario, Leasing y efectivo
Contáctenos en:
- Huérfanos #1160 Of N° 1005, Santiago
- Av. Las Torres #730, Comuna de Quilicura.
- Larraín alcalde #2216, La Serena
Fonos: – Cel.: 9 7779 1267 - 9 8992 8917 – 22 9262537",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_697905-MLC80652658563_112024-F.webp,52 m²,52 m²,0 m²,3,1,0,0,3,0,Departamento,,0 años,0 CLP,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0,Sí,No,0,$
